Date,Team,Team Location,Team Score,Opponent,Opponent Score,Opponent Location,Neutral Site,Team Result,Team Margin,Team Differential,Opponent Differential,Game Type
11/11/2016,Pepperdine,Home,77,Cal Poly,68,Away,,Win,9,-11.29,-5.16,Division 1
11/11/2016,Eastern Michigan,Away,90,Pittsburgh,93,Home,,Loss,-3,4.76,-1.82,Division 1
11/11/2016,Penn State,Home,81,Albany (NY),87,Away,,Loss,-6,-1.00,5.85,Division 1
11/11/2016,Cal Poly,Away,68,Pepperdine,77,Home,,Loss,-9,-5.16,-11.29,Division 1
11/11/2016,Portland,Home,71,UC-Riverside,55,Away,,Win,16,-5.09,-4.17,Division 1
11/11/2016,Furman,Away,71,Presbyterian,73,Home,,Loss,-2,8.13,-13.63,Division 1
11/11/2016,Pittsburgh,Home,93,Eastern Michigan,90,Away,,Win,3,-1.82,4.76,Division 1
11/11/2016,UC-Riverside,Away,55,Portland,71,Home,,Loss,-16,-4.17,-5.09,Division 1
11/11/2016,Albany (NY),Away,87,Penn State,81,Home,,Win,6,5.85,-1.00,Division 1
11/11/2016,James Madison,Away,55,Old Dominion,62,Home,,Loss,-7,-3.18,3.29,Division 1
11/11/2016,Old Dominion,Home,62,James Madison,55,Away,,Win,7,3.29,-3.18,Division 1
11/11/2016,Campbell,Away,65,Oklahoma State,102,Home,,Loss,-37,0.79,7.50,Division 1
11/11/2016,Oklahoma State,Home,102,Campbell,65,Away,,Win,37,7.50,0.79,Division 1
11/11/2016,Oregon State,Home,78,Prairie View,58,Away,,Win,20,-9.38,-4.33,Division 1
11/11/2016,Prairie View,Away,58,Oregon State,78,Home,,Loss,-20,-4.33,-9.38,Division 1
11/11/2016,Army,Away,77,Oregon,91,Home,,Loss,-14,-0.50,14.06,Division 1
11/11/2016,Oregon,Home,91,Army,77,Away,,Win,14,14.06,-0.50,Division 1
11/11/2016,Saint Louis,Home,64,Ball State,85,Away,,Loss,-21,-7.94,3.58,Division 1
11/11/2016,Nevada,Away,63,Saint Mary's (CA),81,Home,,Loss,-18,9.03,15.50,Division 1
11/11/2016,Rutgers,Home,86,Molloy,57,Away,,Win,29,-1.58,0.00,Non Division 1
11/11/2016,Ball State,Away,85,Saint Louis,64,Home,,Win,21,3.58,-7.94,Division 1
11/11/2016,San Diego State,Home,69,San Diego,59,Away,,Win,10,5.94,-5.97,Division 1
11/11/2016,Illinois-Chicago,Away,80,San Francisco,82,Home,,Loss,-2,-0.15,4.66,Division 1
11/11/2016,Saint Mary's (CA),Home,81,Nevada,63,Away,,Win,18,15.50,9.03,Division 1
11/11/2016,San Diego,Away,59,San Diego State,69,Home,,Loss,-10,-5.97,5.94,Division 1
11/11/2016,Robert Morris,Home,50,Pennsylvania,67,Away,,Loss,-17,-3.42,0.86,Division 1
11/11/2016,Purdue,Home,109,McNeese State,65,Away,,Win,44,12.97,-8.59,Division 1
11/11/2016,Dartmouth,Away,61,Rhode Island,84,Home,,Loss,-23,-7.70,8.48,Division 1
11/11/2016,Presbyterian,Home,73,Furman,71,Away,,Win,2,-13.63,8.13,Division 1
11/11/2016,McNeese State,Away,65,Purdue,109,Home,,Loss,-44,-8.59,12.97,Division 1
11/11/2016,Virginia Military Institute,Away,69,Richmond,72,Home,,Loss,-3,-9.63,2.59,Division 1
11/11/2016,Pennsylvania,Away,67,Robert Morris,50,Home,,Win,17,0.86,-3.42,Division 1
11/11/2016,Rhode Island,Home,84,Dartmouth,61,Away,,Win,23,8.48,-7.70,Division 1
11/11/2016,Richmond,Home,72,Virginia Military Institute,69,Away,,Win,3,2.59,-9.63,Division 1
11/11/2016,Oakland,Home,78,Bowling Green State,70,Away,,Win,8,8.72,-3.06,Division 1
11/11/2016,New Mexico State,Home,100,Arizona Christian,52,Away,,Win,48,11.70,0.00,Non Division 1
