Date,Opponent,Opponent Differential,Team,Team Differential,at_home,at_opp,opp_avg_Score,opp_avg_ScoreAllowed,opp_losses,opp_wins,team_avg_Score,team_avg_ScoreAllowed,team_losses,team_wins,team_won
11/11/2016,Washington State,-6.35,Montana State,0.91,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Northwestern State,-3.34,Texas A&M,2.39,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Southern California,5.52,Montana,1.34,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Florida A&M,-7.07,South Florida,-9.67,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Millsaps,0.0,Southeastern Louisiana,2.69,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Southern Methodist,14.71,Gardner-Webb,6.88,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Wright State,4.63,Southern Illinois,-0.88,1,0,0,0,0,0,0,0,0,0,0
11/11/2016,Northern Arizona,-6.84,Santa Clara,1.39,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Pacific Lutheran,0.0,Seattle,-1.67,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,South Carolina,7.59,Louisiana Tech,10.73,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Seton Hall,3.13,Fairleigh Dickinson,-2.23,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,La Salle,-1.03,Temple,-0.25,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Tennessee,1.5,Chattanooga,5.87,0,1,0,0,0,0,0,0,0,0,1
11/11/2016,Colgate,-4.0,Syracuse,5.31,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Incarnate Word,-3.72,Texas,-1.76,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Bethune-Cookman,-6.72,St. John's (NY),-1.94,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Stanford,-1.35,Harvard,6.07,0,0,0,0,0,0,0,0,0,0,0
11/11/2016,Tougaloo,0.0,Southern Mississippi,-9.26,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Stony Brook,0.35,Columbia,-0.89,0,1,0,0,0,0,0,0,0,0,1
11/11/2016,Webber,0.0,Stetson,-5.72,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Austin Peay,-6.13,Dayton,9.94,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Goldey-Beacom,0.0,Delaware,-6.79,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Creighton,9.62,Missouri-Kansas City,-1.85,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,South Dakota,4.18,Drake,-5.87,1,0,0,0,0,0,0,0,0,0,0
11/11/2016,Clarks Summit,0.0,Delaware State,-6.66,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Adrian,0.0,Detroit Mercy,-7.84,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,College of Charleston,4.79,Citadel,-4.76,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Georgia,1.55,Clemson,3.5,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Wagner,2.47,Connecticut,0.94,1,0,0,0,0,0,0,0,0,0,0
11/11/2016,Sacramento State,-3.19,Colorado,3.58,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Linfield,0.0,Eastern Washington,3.42,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Peace,0.0,Elon,3.47,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,IUPUI,-0.53,Eastern Kentucky,-4.29,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Florida Gulf Coast,10.64,Florida,11.72,0,0,0,0,0,0,0,0,0,0,1
11/11/2016,Sacred Heart,-3.44,Fairfield,-0.77,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,St. Francis (IL),0.0,Eastern Illinois,2.97,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Loyola (MD),-2.58,Duquesne,-3.75,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Marist,-9.59,Duke,10.83,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Fordham,-2.41,East Tennessee State,10.56,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Grambling,-1.55,East Carolina,-1.82,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Brown,-2.1,Cincinnati,13.65,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Auburn,0.84,North Florida,-1.09,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Oral Roberts,-4.87,Baylor,10.0,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Arkansas,5.79,IPFW,8.87,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Binghamton,-2.97,Cornell,-5.66,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Nicholls State,-4.77,Boston College,-5.88,1,0,0,0,0,0,0,0,0,0,0
11/11/2016,Coastal Carolina,-0.7,Alabama,4.15,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Schreiner,0.0,Abilene Christian,-2.21,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,McPherson,0.0,Air Force,-2.0,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Portland State,3.55,Arizona State,-3.09,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Arkansas-Pine Bluff,-10.72,Alabama-Birmingham,1.61,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,UC-Irvine,5.63,Utah State,2.78,0,1,0,0,0,0,0,0,0,0,1
